2020-04-26 17:26:23.142 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 17:26:50.414 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 17:26:50.420 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426172650416 You have Succesfully Created a Ticket a2bec8.eml"
2020-04-26 17:26:50.421 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 17:34:03.605 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 17:34:03.612 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426173403608 You have Succesfully Created a Ticket 97985a.eml"
2020-04-26 17:34:03.613 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 17:39:08.538 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 17:39:08.545 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426173908541 Account for Vortex Rentals succesfully 4cbf65.eml"
2020-04-26 17:39:08.546 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 17:40:07.716 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 17:40:07.723 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426174007718 You have Succesfully Created a Ticket 936297.eml"
2020-04-26 17:40:07.724 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 17:41:19.990 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 17:41:19.997 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426174119992 Account for Vortex Rentals succesfully 9b4108.eml"
2020-04-26 17:41:19.997 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 17:41:41.659 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 17:41:41.666 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426174141661 You have Succesfully Created a Ticket f826fd.eml"
2020-04-26 17:41:41.666 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 18:18:13.613 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 18:18:13.639 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426181813616 Account for Vortex Rentals succesfully ae57fd.eml"
2020-04-26 18:18:13.640 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 18:18:15.665 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 18:18:15.672 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426181815667 Account for Vortex Rentals succesfully 4d906e.eml"
2020-04-26 18:18:15.673 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 18:20:09.452 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 18:20:09.459 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426182009454 Account for Vortex Rentals succesfully 404747.eml"
2020-04-26 18:20:09.460 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 18:25:32.889 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 18:25:32.896 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426182532891 Account for Vortex Rentals succesfully 2a11ae.eml"
2020-04-26 18:25:32.896 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 18:29:07.164 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 18:29:07.171 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426182907166 You have Succesfully Created a Ticket aa6226.eml"
2020-04-26 18:29:07.172 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 18:29:24.620 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 18:29:24.626 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426182924622 Your Ticket has been closed 4534cc.eml"
2020-04-26 18:29:24.627 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 18:29:33.587 +01:00 [Information] New SMTP connection from "0.0.0.0"
2020-04-26 18:29:33.594 +01:00 [Information] Successfully Saved email message: "C:\Users\Wesley\AppData\Roaming\Papercut\20200426182933589 You have Succesfully Created a Ticket 45ffad.eml"
2020-04-26 18:29:33.594 +01:00 [Information] Completed SMTP connection from "0.0.0.0"
2020-04-26 18:31:53.092 +01:00 [Information] New SMTP connection from "0.0.0.0"
